127.0.0.1, 2020-05-13 16:43:35, GET, /, HTTP/1.1, 303, 0.001675
127.0.0.1, 2020-05-13 16:43:39, GET, /welcome/default/index, HTTP/1.1, 200, 2.156144
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000580
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000602
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000583
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000545
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000630
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000600
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000581
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001678
127.0.0.1, 2020-05-13 16:43:42, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000542
127.0.0.1, 2020-05-13 16:43:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000742
127.0.0.1, 2020-05-13 16:43:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000587
127.0.0.1, 2020-05-13 16:49:36, GET, /, HTTP/1.1, 303, 0.001391
127.0.0.1, 2020-05-13 16:49:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.159128
127.0.0.1, 2020-05-13 16:49:37, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000482
127.0.0.1, 2020-05-13 16:49:37, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000401
127.0.0.1, 2020-05-13 16:49:37, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000948
127.0.0.1, 2020-05-13 16:49:37, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002182
127.0.0.1, 2020-05-13 16:49:37, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006397
127.0.0.1, 2020-05-13 16:49:37, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2020-05-13 16:49:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2020-05-13 16:49:37, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000513
